id	loss	cross-validation	iteration
0	1157439.0	172.054306030273	0
1	666800.5	172.0146484375	28
2	629066.875	171.392623901367	465
3	577166.0625	170.754577636719	911
4	1046310.5	170.100509643555	1359
5	1023725.3125	169.43795776367202	1806
6	367475.03125	168.759613037109	2255
7	673949.125	168.083740234375	2706
8	862423.6875	167.504150390625	3108
9	1036545.875	166.807052612305	3576
10	937216.0625	166.12585449218798	4046
11	924293.3125	165.495193481445	4513
12	826492.3125	164.8408203125	4983
13	1073377.25	164.167541503906	5451
14	396838.21875	163.47921752929702	5923
15	566400.625	162.78088378906202	6393
16	601319.1875	162.148254394531	6852
17	329686.125	161.547225952148	7289
18	707054.75	160.973098754883	7709
19	594168.5	160.320877075195	8172
20	646741.875	159.656723022461	8644
21	561880.5	158.956283569336	9114
22	284693.34375	158.263671875	9577
23	593100.0	157.554580688477	10048
24	519517.28125	156.841049194336	10522
25	732109.8125	156.096343994141	10994
26	701761.4375	155.32644653320298	11465
27	861004.3125	154.623184204102	11934
28	532114.875	153.84765625	12405
29	755361.8125	153.155685424805	12817
30	651067.0625	152.378433227539	13287
31	765452.0	151.719635009766	13671
32	470739.03125	150.976486206055	14099
33	756024.1875	150.193252563477	14550
34	494306.84375	149.585266113281	15022
35	520397.625	149.026596069336	15484
36	505171.0625	148.49006652832	15923
37	601990.5	148.11018371582	16292
38	349572.21875	147.76193237304702	16724
39	456078.78125	147.45535278320298	17144
40	387221.65625	147.126281738281	17575
41	768998.1875	146.790374755859	18047
42	635788.0625	146.451599121094	18510
43	531983.125	146.103515625	18982
44	564886.25	145.732284545898	19453
45	557684.8125	145.437561035156	19925
46	620862.625	145.14562988281202	20402
47	462041.65625	144.842971801758	20876
48	320262.0	144.534408569336	21348
49	403621.78125	144.243270874023	21780
50	632274.5	143.970169067383	22232
51	357826.8125	143.696960449219	22699
52	573262.6875	143.437072753906	23169
53	628715.0	143.173385620117	23640
54	392945.28125	142.932540893555	24107
55	242002.75	142.672775268555	24577
56	369528.75	142.414840698242	25047
57	473992.53125	142.17073059082	25483
58	607321.625	141.979080200195	25879
59	528026.875	141.732559204102	26312
60	453700.71875	141.49787902832	26780
61	533673.625	141.266357421875	27248
62	446649.21875	141.010482788086	27711
63	319511.375	140.780166625977	28179
64	382865.84375	140.537445068359	28650
65	403341.78125	140.348571777344	29121
66	379482.09375	140.17288208007798	29593
67	327440.28125	140.008865356445	30066
68	453034.21875	139.854385375977	30540
69	298478.15625	139.677673339844	31007
70	652965.6875	139.53791809082	31419
71	356833.6875	139.353759765625	31892
72	529679.6875	139.19270324707	32362
73	474485.25	139.009841918945	32832
74	404577.71875	138.833740234375	33304
75	472139.71875	138.6708984375	33776
76	410072.71875	138.525436401367	34249
77	468403.21875	138.33415222168	34721
78	492073.0625	138.135406494141	35184
79	264229.8125	137.954971313477	35656
80	514036.21875	137.819915771484	36129
81	464650.21875	137.715744018555	36601
82	483459.59375	137.59304809570298	37065
83	438279.40625	137.46310424804702	37536
84	535366.75	137.353759765625	38008
85	343139.9375	137.25924682617202	38423
86	452557.34375	137.138320922852	38893
87	256103.265625	137.014114379883	39366
88	216386.25	136.919616699219	39839
89	551780.5625	136.798629760742	40310
90	360993.5625	136.662841796875	40769
91	162514.71875	136.54162597656202	41198
92	617760.5625	136.452484130859	41667
93	365565.40625	136.32307434082	42139
94	523849.1875	136.218246459961	42612
95	441152.71875	136.114196777344	43074
96	468374.125	135.99606323242202	43546
97	384682.9375	135.909820556641	44017
98	473022.40625	135.81741333007798	44477
99	357600.125	135.709716796875	44946
100	410169.5	135.698486328125	44999
